employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
M C DEAN,"M.C. Dean, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,VA,Tysons,109408.0,109408.0,109408.0
MACKAY COMMUNICATIONS,"Mackay Communications, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Pedro,90002.0,90002.0,90002.0
MARIANAS ENERGY COMPANY,MARIANAS ENERGY COMPANY LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,PITI,58498.0,58498.0,58498.0
MASTEC SERVICES COMPANY,"MASTEC  SERVICES COMPANY, INC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,AZ,Phoenix,91726.0,91726.0,91726.0
MESO SCALE DIAGNOSTICS,"MESO SCALE DIAGNOSTICS, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MD,GAITHERSBURG,137860.0,137860.0,137860.0
MICROSOFT CORPORATION,Microsoft Corporation,1,1,FY2026Q1,no,17-2071,Electrical Engineers,WA,Redmond,141831.0,141831.0,141831.0
MITSUBISHI ELECTRIC POWER PRODUCTS,"Mitsubishi Electric Power Products, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Fort Worth,89668.0,89668.0,89668.0
MMR CONSTRUCTORS,"MMR Constructors, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Midland,80000.0,80000.0,80000.0
MODERN INTERNATIONAL,"Modern International, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Barrigada,49899.0,49899.0,49899.0
MOSS ASSOCIATES,"Moss & Associates, LLC",1,1,FY2026Q1,no,17-2071,Electrical Engineers,KY,Robard,70000.0,70000.0,70000.0
ND PAPER,"ND Paper, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,IL,Oak Brook,85238.0,85238.0,85238.0
NEW CIBO VITA,New Cibo Vita LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,Totowa,85000.0,85000.0,85000.0
NIAGARA NETWORKS,"NIAGARA NETWORKS, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,107182.0,107182.0,107182.0
OAK LEAF ENGINEERING,OAK LEAF ENGINEERING CORP.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Tamuning,49920.0,49920.0,49920.0
OMMO TECHNOLOGIES,"Ommo Technologies, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Carrollton,74589.0,74589.0,74589.0
OPEN SYSTEMS INTERNATIONAL,"Open Systems International, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,West New York,84490.0,84490.0,84490.0
OPERATION TECHNOLOGY,"OPERATION TECHNOLOGY, INC.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,CA,Irvine,85613.0,85613.0,85613.0
PECO ENERGY AN EXELON COMPANY,"PECO Energy, An Exelon Company",1,1,FY2026Q1,no,17-2071,Electrical Engineers,PA,Philadelphia,87200.0,87200.0,87200.0
PIROGON,"PIROGON, INC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CT,New Haven,73882.0,73882.0,73882.0
PJM INTERCONNECTION,"PJM Interconnection, LLC.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,PA,Audubon,105000.0,105000.0,105000.0
