employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
DYNAMIC MAP PLATFORM NORTH AMERICA,"Dynamic Map Platform North America, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MI,Livonia,70500,70500,70500
EBS MINDS IT,eBS-Minds IT Inc,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Pilot Point,72550,72550,72550
ECHOSPARK TECHNOLOGIES,ECHOSPARK TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,PLANO,72550,72550,72550
EPATHUSA,"ePathUSA, Inc",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,IA,West Des Moines,56763,56763,56763
EPITEC,"Epitec, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MI,Dearborn,80163,80163,80163
ERAY TECHNOLOGIES,"eRay Technologies, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,VA,Herndon,85000,85000,85000
ERBA SOLUTIONS,ERBA Solutions LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,IL,Naperville,72000,72000,72000
ESVEE TECHNOLOGIES,"ESVEE TECHNOLOGIES, INC",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,WA,Bellevue,83678,83678,83678
EVEREST GLOBAL SOLUTIONS,"Everest Global Solutions, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Irving,72550,72550,72550
EXACTPRO SYSTEMS,"Exactpro Systems, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,OH,Cincinnati,63482,63482,63482
FII USA,"Fii USA, Inc.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,WI,Mount Pleasant,67912,67912,67912
FIRST CLOUD,First Cloud Inc,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Richardson,72550,72550,72550
FIRST NATIONAL BANK OF OMAHA,First National Bank of Omaha,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Haslet,92925,92925,92925
FLEXON TECHNOLOGIES,Flexon Technologies Inc,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Sunnyvale,103272,103272,103272
FLUTTERWAVE,Flutterwave Inc,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,NC,Charlotte,67392,67392,67392
FORD MOTOR COMPANY,FORD MOTOR COMPANY,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Fremont,115800,115800,115800
FOXCONN ASSEMBLY,Foxconn Assembly LLC,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,San Jose,94162,94162,94162
FRANKLAR TECHNOLOGIES,FRANKLAR TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TN,Franklin,71000,71000,71000
