employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
FRANKLIN TECHNOLOGIES,Franklin Technologies Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,MA,Malden,60570,60570,60570
FRESH INTERNATIONAL RALEIGH,FRESH INTERNATIONAL RALEIGH LLC,1,1,FY2026Q1,no,13-1161,Search Marketing Strategists,NC,RALEIGH,50773,50773,50773
FRESHWATER SOCIETY,Freshwater Society,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,MN,Saint Paul,58573,58573,58573
GANESHA INTERNATIONAL,"Ganesha International, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Sherman Oaks,67900,67900,67900
GDB INTERNATIONAL,"GDB International, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,New Brunswick,80000,80000,80000
GENOSPEC,"GENOSPEC, INC.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,MA,Acton,72000,72000,72000
GENSCAPE,Genscape Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,MA,Boston,72450,72450,72450
GERSON LEHRMAN GROUP,"GERSON LEHRMAN GROUP, INC.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,75000,75000,75000
GK AGENCY,GK Agency LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,TN,Nashville,47000,47000,47000
GLOBAL GASTROENTROLOGY,GLOBAL GASTROENTROLOGY LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,PRINCETON,55910,55910,55910
GLOBAL LIVE NETWORK,Global Live Network,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,IL,Chicago,49920,49920,49920
GLOBAL PACKAGING SUPPLY,"Global Packaging Supply, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Hayward,67808,67808,67808
GNS INTERNATIONAL,GNS International Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,PA,King of Prussia,51600,51600,51600
GOBA CAPITAL,Goba Capital Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,FL,Coral Gables,50107,50107,50107
GREENWICH RETAIL GROUP,GREENWICH RETAIL GROUP LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,NEW YORK,62400,62400,62400
GREGORY P LUTH ASSOCIATES,"Gregory P. Luth & Associates, Inc.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Santa Clara,70000,70000,70000
GSA FORCE,GSA Force LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,FL,Doral,55000,55000,55000
HAIDILAO RESTAURANT GROUP,"Haidilao Restaurant Group, Inc.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Cupertino,66893,66893,66893
HARMONIA DISTRO,Harmonia Distro Inc,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,AZ,Tempe,54000,54000,54000
HAVAS PR NORTH AMERICA,"Havas PR North America, Inc.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,NEW YORK,62000,62000,62000
HD CONSULTING SERVICE,HD Consulting Service LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,61797,61797,61797
HERRTH,"Herrth, LLC",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,WA,Seattle,80000,80000,80000
HL MANDO AMERICA CORPORATION,HL Mando America Corporation,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,AL,Opelika,59000,59000,59000
HOST COMPANY III,Host & Company III LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,61797,61797,61797
HUAGUOSHAN,Huaguoshan Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Jose,104000,104000,104000
HUANG UNITED LAW,Huang United Law Corp,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Diamond Bar,52707,52707,52707
HUMANITIX USA LIMITED,Humanitix USA Limited,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CO,Denver,59000,59000,59000
IHS CORPORATION,IHS CORPORATION,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,GU,Tamuning,34008,34008,34008
IMPACTABLE,Impactable LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,TX,San Antonio,50000,50000,50000
INDEPENDENT SCHOOL DISTRICT 272,Independent School District  272,1,1,FY2026Q1,no,13-1161,Search Marketing Strategists,MN,Eden Prairie,74449,74449,74449
INDIANA UNIVERSITY,Indiana University,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,IN,Bloomington,68153,68153,68153
INFLUENCE GROUP,Influence Group LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,67000,67000,67000
INMYSHOW USA,Inmyshow USA Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Chino Hills,47445,47445,47445
INNOVATIVE LEGAL SERVICE P C,"INNOVATIVE LEGAL SERVICE, P.C.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,LOS ANGELES,52707,52707,52707
INSTALILY,Instalily Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,67000,67000,67000
INTELLIPRO GROUP,"INTELLIPRO GROUP, INC.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Jose,100000,100000,100000
INTERNATIONAL DEVELOPMENT GROUP ADVISORY SERVICES,International Development Group Advisory Services LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,VA,Arlington,56493,56493,56493
INVESTEL DEVELOPMENT,Investel Development LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,GARDEN GROVE,58240,58240,58240
